#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2016,Modificaciones 2016,Credito definitivo 2016,Obligado 2016
110,ALKATETZA ETA KONTRATAZIOA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,73307,KAPITAL TRANSFERENTZIAK CIMUBISARI,110,9,7,1200000,180000,1380000,1352781.09
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,76026,0,76026,79672.5
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,80759,0,80759,74237.87
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,12101,LANTOKI OSAGARRIA,110,9,1,35724,0,35724,46025.12
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,12102,OSAGARRI BEREZIA,110,9,1,91429,0,91429,115016.81
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,7960,0,7960,13338.22
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,12104,HABOROKINAK,110,9,1,0,0,0,59.23
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,16001,GIZARTE SEGURANTZA,110,9,1,65293,0,65293,72644.43
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,16004,ELKARKIDETZAKO KUOTAK,110,9,1,4009,0,4009,3967.74
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,22199,BESTELAKO HORNIDURAK,110,9,2,400,0,400,0
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,22603,PUBLIZITATEA ETA PROPAGANDA,110,9,2,17000,0,17000,21080.09
