#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Presupuesto inicial (Proyecto Ppto.)
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9291,PERTSONALAGATIKO GASTUENTZAKO KREDITU GLOBALA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,1750000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9291,PERTSONALAGATIKO GASTUENTZAKO KREDITU GLOBALA,12104,HABOROKINAK,110,9,1,1125900
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,77615
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,125953
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,12101,LANTOKI OSAGARRIA,110,9,1,59158
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,12102,OSAGARRI BEREZIA,110,9,1,143569
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,10902
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,16001,GIZARTE SEGURANTZA,110,9,1,90807
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,16004,ELKARKIDETZAKO KUOTAK,110,9,1,3996
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,22199,BESTELAKO HORNIDURAK,110,9,2,400
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,22603,PUBLIZITATEA ETA PROPAGANDA,110,9,2,17000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,22699,BESTELAKO GASTUAK,110,9,2,5300
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,22712,ZERBITZU INFORMATIKOAK,110,9,2,15500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,22717,BIDAI AGENTZIETAKO ZERBITZUAK,110,9,2,600
